"","Site.recode","Site.Description","Histology","Histology.Description","Histology.Behavior","Histology.Behavior.Description","Histology.Behavior.Four"
"1","C000-C006,C008-C009","LIP",800,"NEOPLASM","8000/3","Neoplasm, malignant","8000"
"2","C000-C006,C008-C009","LIP",800,"NEOPLASM","8001/3","Tumor cells, malignant","8001"
"3","C000-C006,C008-C009","LIP",800,"NEOPLASM","8002/3","Malignant tumor, small cell type","8002"
"4","C000-C006,C008-C009","LIP",800,"NEOPLASM","8003/3","Malignant tumor, giant cell type","8003"
"5","C000-C006,C008-C009","LIP",800,"NEOPLASM","8004/3","Malignant tumor, spindle cell type","8004"
"6","C000-C006,C008-C009","LIP",800,"NEOPLASM","8005/3","Malignant tumor, clear cell type","8005"
"7","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8010/2","Carcinoma in situ, NOS","8010"
"8","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8010/3","Carcinoma, NOS","8010"
"9","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8011/3","Epithelioma, malignant","8011"
"10","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8012/3","Large cell carcinoma, NOS","8012"
"11","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8013/3","Large cell neuroendocrine carcinoma","8013"
"12","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8014/3","Large cell carcinoma with rhabdoid phenotype","8014"
"13","C000-C006,C008-C009","LIP",801,"CARCINOMA, NOS","8015/3","Glassy cell carcinoma","8015"
"14","C000-C006,C008-C009","LIP",802,"CARCINOMA, UNDIFF., NOS","8020/3","Carcinoma, undifferentiated type, NOS","8020"
"15","C000-C006,C008-C009","LIP",802,"CARCINOMA, UNDIFF., NOS","8021/3","Carcinoma, anaplastic type, NOS","8021"
"16","C000-C006,C008-C009","LIP",802,"CARCINOMA, UNDIFF., NOS","8022/3","Pleomorphic carcinoma","8022"
"17","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8030/3","Giant cell and spindle cell carcinoma","8030"
"18","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8031/3","Giant cell carcinoma","8031"
"19","C000-C006,C008-C009","LIP",803,"GIANT & SPINDLE CELL CARCINOMA","8032/3","Spindle cell carcinoma","8032"
